=============================== ATTRIBUTE RANKING FOR CAR DATABASE ===============================
safety & persons & buying & maint & doors & lug_boot\\
159872 & 119945 & 64460 & 56344 & 21243 & 20295 \\
158556 & 122850 & 63529 & 56074 & 20581 & 19723 \\
158540 & 122156 & 63582 & 55689 & 21247 & 20110 \\
157450 & 122710 & 64431 & 55737 & 21005 & 19883 \\
158860 & 121824 & 63679 & 57082 & 20350 & 20044 \\
159573 & 120895 & 64214 & 56614 & 20506 & 20048 \\
159980 & 121546 & 64141 & 55664 & 19942 & 20330 \\
158385 & 122294 & 64556 & 56544 & 20717 & 19866 \\
160151 & 120893 & 63591 & 56260 & 20842 & 19767 \\
159821 & 120064 & 64778 & 56555 & 20969 & 19923 \\
=============================== ATTRIBUTE RANKING FOR ADULT DATABASE ===============================
relationship & education & occupation & workclass & capital-gain & age & marital-status \\
3207674 & 2865279 & 2490590 & 1314382 & 1092396 & 1065100 & 850820 \\
3201840 & 2868180 & 2486026 & 1321672 & 1085570 & 1058655 & 858351 \\
3218136 & 2856852 & 2496806 & 1322824 & 1098569 & 1073514 & 823797 \\
3210793 & 2867519 & 2486055 & 1323725 & 1086150 & 1069085 & 838939 \\
3228347 & 2862672 & 2498123 & 1320902 & 1076575 & 1065715 & 830570 \\
3223042 & 2875904 & 2485605 & 1323270 & 1070304 & 1068714 & 820048 \\
3230089 & 2871260 & 2492293 & 1319107 & 1082184 & 1071129 & 822697 \\
3217718 & 2867648 & 2479836 & 1325665 & 1104970 & 1060236 & 842905 \\
3202131 & 2874033 & 2493464 & 1324594 & 1084036 & 1064624 & 839122 \\
3222288 & 2859366 & 2502288 & 1317869 & 1097764 & 1071672 & 830182 \\
hours-per-week & fnlwgt & native-country & race & capital-loss & sex & education-num \\
806611 & 779579 & 718796 & 597877 & 560561 & 387951 & 303260 \\
808889 & 781004 & 726766 & 595585 & 561220 & 389417 & 302685 \\
806522 & 784718 & 721626 & 599570 & 560116 & 387654 & 303618 \\
815131 & 782648 & 719624 & 597100 & 559246 & 388734 & 301895 \\
807449 & 783851 & 724544 & 593625 & 563642 & 389182 & 303108 \\
802260 & 783843 & 727185 & 597769 & 564108 & 390892 & 302961 \\
813765 & 784501 & 729623 & 596095 & 559286 & 389338 & 304262 \\
815845 & 780779 & 715311 & 596213 & 557844 & 390881 & 302747 \\
810821 & 780725 & 727634 & 596695 & 557762 & 386620 & 301040 \\
803553 & 779813 & 726860 & 597752 & 559656 & 391559 & 302770 \\
